attempts_logged,bias_x,bias_y,enable_reflection,final_distance_m,retries_used,seed,success,trial
6.0,0.005857620471278968,0.025822723964690333,1.0,0.06323510408401489,5.0,0.0,1.0,0.0
6.0,-0.009957359435691121,0.026438939213058968,1.0,0.06366350501775742,5.0,1.0,1.0,1.0
1.0,-0.007680611742959552,-0.05688885218065304,1.0,0.06020485237240791,0.0,2.0,1.0,2.0
6.0,0.006095748308949059,0.02497773871417258,1.0,0.06561286747455597,5.0,3.0,1.0,3.0
1.0,0.0560435806816412,0.005667869901086683,1.0,0.09390594810247421,0.0,4.0,1.0,4.0
